ticker,sector,split,days,base_trades,base_win_rate,base_pf,base_pnl,base_max_dd,vol_trades,vol_win_rate,vol_pf,vol_pnl,vol_max_dd,delta_wr,delta_pf,delta_pnl
BMY,Healthcare,full,60,34,35.3,0.68,-4.76,-10.89,29,48.3,1.09,0.79,-6.21,13.0,0.41,5.55
BMY,Healthcare,is,36,23,26.1,0.46,-4.97,-6.42,20,40.0,0.58,-2.9,-5.22,13.9,0.12,2.07
BMY,Healthcare,oos,24,11,54.5,1.04,0.21,-3.95,9,66.7,2.83,3.69,-2.02,12.1,1.79,3.48
CVX,Energy,full,60,31,41.9,0.85,-2.29,-4.73,24,66.7,7.85,9.72,-0.63,24.7,7.0,12.01
CVX,Energy,is,36,19,36.8,0.88,-1.11,-4.56,13,53.8,5.5,3.55,-0.28,17.0,4.62,4.65
CVX,Energy,oos,24,13,53.8,1.04,0.25,-3.88,12,83.3,11.32,6.51,-0.63,29.5,10.28,6.26
QCOM,Technology,full,60,18,38.9,0.34,-8.44,-10.8,14,85.7,5.28,6.93,-1.41,46.8,4.94,15.37
QCOM,Technology,is,36,10,60.0,0.58,-2.13,-4.1,7,85.7,1.99,1.4,-1.41,25.7,1.41,3.53
QCOM,Technology,oos,24,8,12.5,0.19,-6.31,-5.72,7,85.7,27.85,5.53,0.0,73.2,27.67,11.84
PG,Consumer Defensive,full,60,43,55.8,1.05,0.65,-4.75,35,65.7,2.52,7.55,-1.76,9.9,1.47,6.9
PG,Consumer Defensive,is,36,28,60.7,1.36,2.55,-3.04,24,70.8,5.68,7.88,-1.26,10.1,4.32,5.33
PG,Consumer Defensive,oos,24,15,46.7,0.63,-1.9,-3.13,11,54.5,0.9,-0.34,-1.76,7.9,0.27,1.57
MOS,Basic Materials,full,60,23,52.2,1.1,1.4,-4.3,21,76.2,4.57,17.51,-2.65,24.0,3.48,16.11
MOS,Basic Materials,is,36,15,53.3,1.05,0.35,-2.73,14,78.6,5.03,9.07,-0.91,25.2,3.98,8.72
MOS,Basic Materials,oos,24,8,50.0,1.14,1.05,-4.3,7,71.4,4.19,8.44,-2.65,21.4,3.05,7.39
ABT,Healthcare,full,60,35,54.3,1.16,1.72,-3.83,27,66.7,2.18,6.54,-2.54,12.4,1.02,4.82
ABT,Healthcare,is,36,23,56.5,1.16,1.13,-3.83,16,75.0,2.98,5.32,-2.54,18.5,1.82,4.19
ABT,Healthcare,oos,24,12,50.0,1.17,0.59,-1.55,11,54.5,1.43,1.22,-1.55,4.5,0.26,0.64
PANW,Technology,full,60,27,44.4,0.96,-0.65,-6.74,17,64.7,3.49,9.9,-2.47,20.3,2.53,10.55
PANW,Technology,is,36,16,37.5,1.0,0.03,-6.74,10,60.0,3.29,7.45,-2.47,22.5,2.29,7.42
PANW,Technology,oos,24,12,58.3,0.99,-0.09,-4.97,8,75.0,5.21,3.04,-0.41,16.7,4.22,3.13
JPM,Financial Services,full,60,29,48.3,1.24,2.49,-3.06,19,73.7,15.4,8.44,-0.25,25.4,14.16,5.95
JPM,Financial Services,is,36,21,57.1,1.93,5.55,-2.78,14,78.6,20.14,7.08,-0.25,21.4,18.21,1.53
JPM,Financial Services,oos,24,8,25.0,0.31,-3.06,-2.58,5,60.0,7.29,1.36,-0.18,35.0,6.98,4.42
USB,Financial Services,full,60,23,52.2,1.12,0.99,-3.28,18,77.8,3.75,6.47,-0.84,25.6,2.62,5.48
USB,Financial Services,is,36,18,55.6,1.39,1.81,-2.19,14,78.6,4.52,5.32,-0.72,23.0,3.13,3.51
USB,Financial Services,oos,24,6,33.3,0.6,-1.65,-3.28,4,75.0,2.37,1.15,0.0,41.7,1.77,2.79
NEE,Utilities,full,60,31,41.9,1.39,3.09,-2.84,27,51.9,2.28,7.01,-2.17,9.9,0.89,3.92
NEE,Utilities,is,36,20,50.0,2.33,4.97,-1.88,18,55.6,2.64,5.19,-1.48,5.6,0.31,0.22
NEE,Utilities,oos,24,12,33.3,0.87,-0.53,-1.91,10,50.0,2.38,3.17,-1.25,16.7,1.51,3.7
MRK,Healthcare,full,60,34,35.3,0.55,-7.39,-5.91,25,56.0,1.28,2.06,-1.78,20.7,0.73,9.45
MRK,Healthcare,is,36,22,36.4,0.47,-5.95,-4.83,17,52.9,1.02,0.12,-1.78,16.6,0.55,6.08
MRK,Healthcare,oos,24,12,33.3,0.73,-1.43,-5.09,8,62.5,1.95,1.94,-1.76,29.2,1.21,3.38
SHOP,Technology,full,60,13,46.2,0.46,-7.65,-9.93,9,77.8,2.34,4.74,-3.06,31.6,1.88,12.38
SHOP,Technology,is,36,8,50.0,0.41,-3.94,-6.22,5,80.0,5.09,1.95,-0.48,30.0,4.68,5.88
SHOP,Technology,oos,24,6,50.0,0.63,-2.78,-7.54,5,80.0,2.21,3.72,-3.06,30.0,1.58,6.5
LUV,Industrials,full,60,19,31.6,0.64,-4.97,-8.09,16,37.5,0.94,-0.57,-5.11,5.9,0.3,4.4
LUV,Industrials,is,36,15,26.7,0.55,-4.48,-4.23,12,33.3,0.99,-0.08,-3.03,6.7,0.44,4.4
LUV,Industrials,oos,24,5,40.0,0.72,-1.33,-3.86,5,40.0,0.72,-1.33,-3.86,0.0,0.0,0.0
PPL,Utilities,full,60,36,50.0,1.24,2.95,-4.56,33,60.6,1.79,7.08,-2.94,10.6,0.55,4.13
PPL,Utilities,is,36,22,45.5,1.05,0.46,-2.93,20,55.0,1.22,1.75,-2.94,9.5,0.17,1.3
